codastjegga__Timestamp__c,codastjegga__EventName__c,codastjegga__NumberValue__c,codastjegga__Device_Id__c,codastjegga__ValueType__c,codastjegga__TextValue__c,codastjegga__FloatValue__c,codastjegga__CurrencyValue__c,codastjegga__LocaleValue__c,codastjegga__DatabaseName__c
3/29/2013 7:00 AM,Name,,fba473108a269383,Text,Jeremy,,,,Angry Birds
1/29/2013 8:00 AM,Wage,,fba473108a269383,Currency,,,8.11,,Temple Run
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Corey,,,,Angry Birds
4/29/2013 7:00 AM,Wage,,fba473108a269383,Currency,,,18.88,,Temple Run
1/29/2013 8:00 AM,Age,,fba473108a269383,Float,,6.06,,,Angry Birds
1/29/2013 8:00 AM,Wage,,fba473108a269383,Currency,,,3.31,,Temple Run
5/29/2013 7:00 AM,Wage,,fba473108a269383,Currency,,,15.68,,Angry Birds
1/29/2013 8:00 AM,Age,,fba473108a269383,Float,,6.07,,,Temple Run
6/29/2013 7:00 AM,Age,,fba473108a269383,Float,,10.6,,,Temple Run
1/29/2013 8:00 AM,Wage,,fba473108a269383,Currency,,,6.44,,Angry Birds
9/29/2013 7:00 AM,Name,,fba473108a269383,Text,Jeremy,,,,Temple Run
1/29/2013 8:00 AM,Wage,,fba473108a269383,Currency,,,10.53,,Angry Birds
8/29/2013 7:00 AM,Wage,,fba473108a269383,Currency,,,5.05,,Temple Run
1/29/2013 8:00 AM,Age,,fba473108a269383,Float,,11.47,,,Angry Birds
7/29/2013 7:00 AM,Wage,,fba473108a269383,Currency,,,4.22,,Temple Run
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Daniel,,,,Angry Birds
1/29/2013 8:00 AM,Wage,,fba473108a269383,Currency,,,18.56,,Angry Birds
5/29/2013 7:00 AM,Age,,fba473108a269383,Float,,2.74,,,Temple Run
1/29/2013 8:00 AM,Wage,,fba473108a269383,Currency,,,17.47,,Angry Birds
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Steven,,,,Angry Birds
1/29/2013 8:00 AM,Age,,fba473108a269383,Float,,0.21,,,Temple Run
5/29/2013 7:00 AM,Name,,fba473108a269383,Text,Corey,,,,Angry Birds
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Jeremy,,,,Temple Run
3/29/2013 7:00 AM,Wage,,fba473108a269383,Currency,,,19.45,,Angry Birds
1/29/2013 8:00 AM,Location,,fba473108a269383,Locale,,,,TX,Temple Run
7/29/2013 7:00 AM,Wage,,fba473108a269383,Currency,,,0.95,,Angry Birds
1/29/2013 8:00 AM,Location,,fba473108a269383,Locale,,,,US,Temple Run
4/29/2013 7:00 AM,Location,,fba473108a269383,Locale,,,,UK,Angry Birds
1/29/2013 8:00 AM,Location,,fba473108a269383,Locale,,,,UK,Temple Run
6/29/2013 7:00 AM,Name,,fba473108a269383,Text,Daniel,,,,Angry Birds
1/29/2013 8:00 AM,Location,,fba473108a269383,Locale,,,,UK,Temple Run
8/29/2013 7:00 AM,Location,,fba473108a269383,Locale,,,,UK,Angry Birds
1/29/2013 8:00 AM,Location,,fba473108a269383,Locale,,,,TX,Temple Run
7/29/2013 7:00 AM,Name,,fba473108a269383,Text,Daniel,,,,Angry Birds
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Corey,,,,Temple Run
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Jeremy,,,,Angry Birds
7/29/2013 7:00 AM,Name,,fba473108a269383,Text,Gagandeep,,,,Temple Run
1/29/2013 8:00 AM,Location,,fba473108a269383,Locale,,,,TX,Temple Run
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Daniel,,,,Angry Birds
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Jeremy,,,,Temple Run
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Gagandeep,,,,Angry Birds
4/29/2013 7:00 AM,Location,,fba473108a269383,Locale,,,,TX,Temple Run
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Daniel,,,,Angry Birds
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Steven,,,,Temple Run
3/29/2013 7:00 AM,Name,,fba473108a269383,Text,Jeremy,,,,Angry Birds
1/29/2013 8:00 AM,Name,,fba473108a269383,Text,Gagandeep,,,,Temple Run
3/14/2013 6:53 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:52 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:52 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:52 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:53 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:53 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:53 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:53 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 6:53 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 10:14 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 10:17 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 10:20 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/14/2013 10:39 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/15/2013 12:00 AM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/15/2013 10:34 AM,my-integers,5555,c0d2197aeaa444c3,Number,,,,,Button-App
3/15/2013 10:35 AM,my-integers,5555,c0d2197aeaa444c3,Number,,,,,Button-App
3/15/2013 10:35 AM,my-integers,5555,c0d2197aeaa444c3,Number,,,,,Button-App
3/15/2013 10:35 AM,my-integers,5555,c0d2197aeaa444c3,Number,,,,,Button-App
3/15/2013 10:35 AM,my-integers,555536,c0d2197aeaa444c3,Number,,,,,Button-App
3/15/2013 2:22 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/15/2013 2:22 PM,my-strings,,33cd1802667bac03,Text,8999,,,,Button-App
3/15/2013 2:33 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
3/15/2013 2:33 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
3/15/2013 2:33 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
3/15/2013 2:33 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
3/15/2013 2:33 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
3/15/2013 2:33 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
3/15/2013 7:49 PM,my-strings,,33cd1802667bac03,Text,Over 9000,,,,Button-App
